frag_id,charge,spin_multiplicity,fragment
frag197,0,1,[H]O[C-]([H])[C@@]1([H])[O+]([H])OC1([H])[H]
frag198,0,1,[H]O[O+]1[C-]([H])C([H])([H])[C-]([H])[O+]1[H]
frag199,0,1,[H][C-]([H])C([H])([H])[C-]([H])[o+]1o[o+]1[H]
frag200,0,1,[H][C-]1OO[O+]([H])C([H])([H])C1([H])[H]
frag201,0,1,[H][C-]1O[O+]([H])[O+]([H])[C-]([H])C1([H])[H]
frag202,0,1,[H]O[C-]([H])C([H])([H])[C@@]1([H])O[O+]1[H]
frag203,0,1,[H]O[C-]([H])C([H])([H])[C@]1([H])O[O+]1[H]
frag204,0,1,[H][C-]1[O+]([H])OOC([H])([H])C1([H])[H]
frag205,0,1,[H][C-]([O-])C([H])([H])[O+]1[O+]([H])C1([H])[H]
frag206,0,1,[H][C-]([O-])[C@]1([H])[O+]([O+]([H])[H])C1([H])[H]
frag207,0,1,[H][C-]([O-])[C@@]1([H])[O+]([O+]([H])[H])C1([H])[H]
frag208,0,1,[H][C-]([O-])[C@]1([H])[O+]([H])[O+]([H])C1([H])[H]
frag209,0,1,[H][C-]([O-])[C@@]1([H])[O+]([H])[O+]([H])C1([H])[H]
frag210,0,1,[H][C-]([O-])C([H])([H])C1([H])[O+]([H])[O+]1[H]
frag211,0,1,[H]/[O+]=[O+]/C([H])([H])C([H])=C([H])[H]
frag212,0,1,[H]/[O+]=[O+]\C([H])([H])C([H])=C([H])[H]
frag213,0,2,[H]/[O+]=[O+]/[C@]1([H])[C-]([H])C1([H])[H]
frag214,0,2,[H]/[O+]=[O+]/[C@@]1([H])[C-]([H])C1([H])[H]
frag215,0,2,[H]/[O+]=[O+]\[C@]1([H])[C-]([H])C1([H])[H]
frag216,0,2,[H]/[O+]=[O+]\[C@@]1([H])[C-]([H])C1([H])[H]
frag217,0,2,[H][C+]([H])C([H])([O-])[C-]([H])[H]
frag218,0,2,[H]C([H])=C([H])C([H])([H])[O-]
frag219,0,1,[H]C[O+](O[H])C([H])([H])[C+]([H])[H]
frag220,0,2,[H]O[O+]1CC([H])([H])C1([H])[H]
frag221,0,1,[H]O[O+](C([H])=C([H])[H])[C+]([H])[H]
frag222,0,2,[H]O[O+]1C([H])=C([H])C1([H])[H]
frag223,0,1,[H]O/[O+]=C(\[H])C([H])([H])[C+]([H])[H]
frag224,0,1,[H]O/[O+]=C(/[H])C([H])([H])[C+]([H])[H]
frag225,0,2,[H]O[O+]1[C+]([H])C([H])([H])[C-]1[H]
frag226,0,1,[H]OOC([H])=O
frag227,0,2,[H]C(=O)OC([H])([H])[C+]([H])[H]
frag228,0,2,[H]C(=O)[O+]([O-])C([H])([H])[C-]([H])[H]
frag229,0,2,[H]O[O+](C([O-])=C([H])[H])[C-]([H])[H]
frag230,0,1,[H]C1([H])OC(=O)C1([H])[H]
frag231,0,2,[H]C([H])=[O+][C@@]([H])([O-])[C+]([H])[H]
frag232,0,2,[H]C([H])=[O+][C@]([H])([O-])[C+]([H])[H]
frag233,0,2,[H][C+]([H])[C@]([H])([O-])[O+]([O-])[C-]([H])[H]
frag234,0,2,[H][C+]([H])[C@@]([H])([O-])[O+]([O-])[C-]([H])[H]
frag235,0,1,[H][C+]1C([H])([H])O[C@@]1([H])[O-]
frag236,0,1,[H][C+]1C([H])([H])O[C@]1([H])[O-]
frag237,0,1,[H]C1=[O+][C@@]([H])([O-])C1([H])[H]
frag238,0,1,[H]C1=[O+][C@]([H])([O-])C1([H])[H]
frag239,0,1,[H]/[O+]=[O+]/[C+]([H])C([H])([H])[C-]([H])[H]
