batch,fragname,confname,energy,enthalpy
batch1,frag1036,10,,
batch1,frag1014,1,,
batch1,frag1136,6,,
batch1,frag1106,53,,
batch1,frag1057,59,,
batch1,frag1060,10,,
batch1,frag1126,102,,
batch1,frag1093,64,,
batch1,frag1050,52,,
batch1,frag1136,11,,
batch1,frag108,51,,
batch1,frag1032,24,,
batch1,frag1119,12,,
batch1,frag1080,42,,
batch1,frag1164,25,,
batch1,frag1043,74,,
batch1,frag1125,37,,
batch1,frag1126,215,,
batch1,frag1071,15,,
batch1,frag1093,109,,
batch1,frag1104,4,-0.00971656349523,0.089037
batch1,frag1026,3,,
batch1,frag1127,14,,
batch1,frag108,80,,
batch1,frag1056,8,,
batch1,frag1082,61,,
batch1,frag1023,21,,
batch1,frag1014,68,,
batch1,frag1062,33,,
batch1,frag1013,63,,
batch1,frag1138,55,,
batch1,frag1052,71,,
batch1,frag1009,564,,
batch1,frag1049,76,,
batch1,frag1032,178,,
batch1,frag1152,2,,
batch1,frag1079,34,,
batch1,frag1113,10,,
batch1,frag1124,59,,
batch1,frag1112,197,,
batch1,frag1038,26,,
batch1,frag1070,5,,
batch1,frag1094,220,,
batch1,frag1009,105,,
batch1,frag1049,3,,
batch1,frag1056,37,,
batch1,frag1027,67,0.0188623163874,0.118323
batch1,frag1132,86,,
batch1,frag1141,24,,
batch1,frag1132,57,,
batch1,frag1058,73,,
batch1,frag1054,14,-0.0323732401467,0.068942
batch1,frag1019,61,,
batch1,frag1097,22,,
batch1,frag1102,15,,
batch1,frag1068,31,,
batch1,frag1009,673,,
batch1,frag1025,44,,
batch1,frag1029,23,,
batch1,frag1160,0,,
batch1,frag1031,69,,
batch1,frag1006,20,,
batch1,frag1112,146,,
batch1,frag1159,6,,
batch1,frag1167,68,,
batch1,frag1094,137,,
batch1,frag1009,212,,
batch1,frag1127,169,,
batch1,frag1086,1,,
batch1,frag110,67,,
batch1,frag1093,18,,
batch1,frag1068,4,,
batch1,frag1026,75,,
batch1,frag1131,224,,
batch1,frag1067,67,,
batch1,frag1101,24,,
batch1,frag1094,13,,
batch1,frag1016,37,,
batch1,frag1113,151,,
batch1,frag1131,66,,
batch1,frag1057,25,,
batch1,frag1021,9,,
batch1,frag1078,26,,
batch1,frag1153,10,,
